"id","category","subcategory","title","content","sample_questions","keywords","location","county","plot_size","property_type","status","price","source_url","needs_verification"
"FY-046","PROPERTY","OVERVIEW","Chaka Ranch Homes","Chaka Ranch Homes is Famyard's premium master-planned gated community of fully serviced 1/4 acre (100 x 100 ft) plots next to Chaka Ranch Resort on the foothills of Mount Kenya, with Aberdare views. Infrastructure: cabro-paved all-weather roads, electricity, water, sewerage, storm drainage, fibre optic internet outlets, perimeter electric fence, chain-link fence with hedge, street lighting, security floodlights, exclusive club house, children's playground, CCTV and guards. Homeowners get free access to Chaka Ranch Water Park. Mucheru's World of Golf, an 18-hole Par-3 course, is coming up next to the estate. Owners can partner with Chaka Ranch Resort to earn rental income when the home is empty. Buyers choose from 4 pre-approved house designs, from a 3-bed bungalow to a 5-bed villa with rooftop terrace. Freehold title. Plot size: 100 x 100 ft (1/4 acre). Type: Premium Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Chaka Ranch Homes|Do you have plots in Chaka?|What size are plots in Chaka?","chaka ranch homes, chaka, plots for sale, 100 x 100 ft","Chaka","Nyeri","100 x 100 ft (1/4 acre)","Premium Gated Community","Completed (fully serviced)","Upon request","https://famyard.co.ke/plots/chaka-ranch-homes-premium-fully-serviced-1-4-acre-plots-for-sale-in-chaka-nyeri-2/",""
"FY-047","PROPERTY","LOCATION_LANDMARKS","Chaka Ranch Homes - location and nearby landmarks","Chaka Ranch Homes (Chaka, Nyeri County) - Nearby in Chaka: Chaka Ranch resort (swimming pool, water park, accommodation, restaurant, quad biking, go-karts); Chaka town shops and services; Chaka Shopping Mall; St. John's Divine Nursing Home on the Kiganjo-Nanyuki highway (24-hour outpatient, inpatient, maternity, surgery, emergency); Chaka Open Air Market; and the Kiganjo-Nanyuki / A2 road corridor linking Nyeri and Nanyuki.","How far is Chaka Ranch Homes from town?|What is near Chaka plots?|How do I get to Chaka Ranch Homes?","chaka ranch homes, chaka, plots for sale, 100 x 100 ft, distance, directions, landmarks, schools, hospital","Chaka","Nyeri","100 x 100 ft (1/4 acre)","Premium Gated Community","Completed (fully serviced)","Upon request","https://famyard.co.ke/plots/chaka-ranch-homes-premium-fully-serviced-1-4-acre-plots-for-sale-in-chaka-nyeri-2/",""
"FY-048","PROPERTY","OVERVIEW","Chaka plots near Beakin Resort","Famyard's plots in Chaka, Nyeri County are 100 x 100 ft residential plots close to Beakin Chaka Resort, suitable for residential or commercial development. Water, electricity and graded roads are in place for immediate building. Nearby markets, shops, schools, health centres and heightened security. Plot size: 100 x 100 ft (1/4 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Chaka plots near Beakin Resort|Do you have plots in Chaka?|What size are plots in Chaka?","chaka plots near beakin resort, chaka, plots for sale, 100 x 100 ft","Chaka","Nyeri","100 x 100 ft (1/4 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-chaka-nyeri-county/",""
"FY-049","PROPERTY","LOCATION_LANDMARKS","Chaka plots near Beakin Resort - location and nearby landmarks","Chaka plots near Beakin Resort (Chaka, Nyeri County) - Distances: Beakin Resort 300 m; Chaka town centre 1 km; local market 1 km; healthcare facility 2 km; Nanyuki airstrip about 15 km. Directions: maps.app.goo.gl/PkEHWUEB452SD1XCA","How far is Chaka plots near Beakin Resort from town?|What is near Chaka plots?|How do I get to Chaka plots near Beakin Resort?","chaka plots near beakin resort, chaka, plots for sale, 100 x 100 ft, distance, directions, landmarks, schools, hospital","Chaka","Nyeri","100 x 100 ft (1/4 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-chaka-nyeri-county/",""
"FY-050","PROPERTY","OVERVIEW","Gitero plots","Famyard's Gitero plots are 50 x 100 ft (1/8 acre) residential plots 6 km from Nyeri Town, Nyeri County, suitable for residential or commercial development. Water, electricity and graded roads are in place. Close to schools, health centres, markets and Nyeri's leisure spots such as Outspan Hotel and Nyeri Golf Club. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Gitero plots|Do you have plots in Gitero?|What size are plots in Gitero?","gitero plots, gitero, plots for sale, 50 x 100 ft","Gitero","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-gitero-nyeri-county/",""
"FY-051","PROPERTY","LOCATION_LANDMARKS","Gitero plots - location and nearby landmarks","Gitero plots (Gitero, Nyeri County) - Distances: Nyeri Town 6 km; Naivas Supermarket 5.9 km; Outspan Hospital 8 km; Outspan Hotel 8.2 km. Directions: maps.app.goo.gl/SA48HrDqQ9HVKioz6","How far is Gitero plots from town?|What is near Gitero plots?|How do I get to Gitero plots?","gitero plots, gitero, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Gitero","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-gitero-nyeri-county/",""
"FY-052","PROPERTY","OVERVIEW","Karatina High Ridge Estate","Famyard's Karatina Estate (High Ridge Estate) is a gated community of 50 x 100 ft plots in Karatina town, Nyeri County, just 100 m off the Nairobi-Nanyuki Highway and 500 m from Karatina town centre. Fully serviced with water, electricity and engineered graded roads. Near shops, markets, schools and clinics. Bank financing available. Plot size: 50 x 100 ft (1/8 acre); 1/4 also advertised. Type: Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Karatina High Ridge Estate|Do you have plots in Karatina?|What size are plots in Karatina?","karatina high ridge estate, karatina, plots for sale, 50 x 100 ft","Karatina","Nyeri","50 x 100 ft (1/8 acre); 1/4 also advertised","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-karatina-town/","Page title says '100M from Town Center' but body says 500 m from town and 100 m from highway."
"FY-053","PROPERTY","LOCATION_LANDMARKS","Karatina High Ridge Estate - location and nearby landmarks","Karatina High Ridge Estate (Karatina, Nyeri County) - Distances: Nairobi-Nanyuki Highway 100 m; Karatina town centre 500 m; Karatina Primary School 1.2 km; railway station 3 km; Karatina University 10 km; regional airstrip 45 km. Directions: maps.app.goo.gl/Fh6Co9MACM1Z27bD9","How far is Karatina High Ridge Estate from town?|What is near Karatina plots?|How do I get to Karatina High Ridge Estate?","karatina high ridge estate, karatina, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Karatina","Nyeri","50 x 100 ft (1/8 acre); 1/4 also advertised","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-karatina-town/",""
"FY-054","PROPERTY","OVERVIEW","Kangaita Kahua Ridge Estate","Kahua Ridge Estate in Kangaita offers 50 x 100 ft residential plots with panoramic views of Mount Kenya, reliable electricity, consistent water and maintained access roads. Moderate climate and fertile soils suit homes, holiday homes, eco-tourism and agribusiness. Close to Nanyuki's commercial hub and tourism attractions. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Kangaita Kahua Ridge Estate|Do you have plots in Kangaita?|What size are plots in Kangaita?","kangaita kahua ridge estate, kangaita, plots for sale, 50 x 100 ft","Kangaita","Nyeri/Laikipia (confirm)","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-kangaita/","Page says 'Kangaita, Nanyuki' but listing location tag says 'Ruring'u, Nyeri'. Confirm exact location/county."
"FY-055","PROPERTY","LOCATION_LANDMARKS","Kangaita Kahua Ridge Estate - location and nearby landmarks","Kangaita Kahua Ridge Estate (Kangaita, Nyeri/Laikipia (confirm) County) - Distances: Nanyuki High School 5 km; Equity Bank Nanyuki 5.5 km; Nanyuki Teaching and Referral Hospital 6 km; Cedar Mall 6 km; Braeburn Nanyuki International School 7 km; Nanyuki Airstrip 10 km; Mount Kenya Wildlife Conservancy 15 km; Ol Pejeta Conservancy 17 km. Estate plan available. Directions: maps.app.goo.gl/2quoayWuMqLis98f7","How far is Kangaita Kahua Ridge Estate from town?|What is near Kangaita plots?|How do I get to Kangaita Kahua Ridge Estate?","kangaita kahua ridge estate, kangaita, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Kangaita","Nyeri/Laikipia (confirm)","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-kangaita/",""
"FY-056","PROPERTY","OVERVIEW","Wiyumiririe plots (Jikaze)","Famyard's Wiyumiririe plots are a gated community of 50 x 100 ft plots in Wiyumiririe town (Jikaze area), off the Nyeri-Nyahururu Highway, where Famyard's second office is. Water, electricity and graded roads installed; ready for residential or commercial projects; secure community. Plot size: 50 x 100 ft (1/8 acre). Type: Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Wiyumiririe plots (Jikaze)|Do you have plots in Wiyumiririe?|What size are plots in Wiyumiririe?","wiyumiririe plots (jikaze), wiyumiririe, plots for sale, 50 x 100 ft","Wiyumiririe","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-wiyumiririe/","Page title says 50 m from highway; body says 200 m."
"FY-057","PROPERTY","LOCATION_LANDMARKS","Wiyumiririe plots (Jikaze) - location and nearby landmarks","Wiyumiririe plots (Jikaze) (Wiyumiririe, Nyeri County) - Distances: main highway about 200 m; Wiyumiririe town centre 500 m; local market 1 km; nearest clinic 1.5 km; Wiyumiririe Primary School 2 km; regional airstrip 15 km. Estate plan (Phase 1) available. Directions: maps.app.goo.gl/DJqzvD7w7DUsf7fN7","How far is Wiyumiririe plots (Jikaze) from town?|What is near Wiyumiririe plots?|How do I get to Wiyumiririe plots (Jikaze)?","wiyumiririe plots (jikaze), wiyumiririe, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Wiyumiririe","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-wiyumiririe/",""
"FY-058","PROPERTY","OVERVIEW","Mweiga Kanyagia plots","Famyard's Mweiga-Kanyagia plots are a gated community of 50 x 100 ft plots in Mweiga, Nyeri County, off the Nyeri-Nyahururu road near the Aberdare slopes, on fertile rolling hills. Water and electricity installed and roads graded; suitable for residential, commercial or farming use. Secure, close-knit community with new schools and clinics coming up. Plot size: 50 x 100 ft (1/8 acre). Type: Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Mweiga Kanyagia plots|Do you have plots in Mweiga / Kanyagia?|What size are plots in Mweiga / Kanyagia?","mweiga kanyagia plots, mweiga / kanyagia, plots for sale, 50 x 100 ft","Mweiga / Kanyagia","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-mweiga-kanyagia/","The 'Graded Road Network' section on this web page contains Lorem Ipsum placeholder text; fix on site."
"FY-059","PROPERTY","LOCATION_LANDMARKS","Mweiga Kanyagia plots - location and nearby landmarks","Mweiga Kanyagia plots (Mweiga / Kanyagia, Nyeri County) - Distances: Mweiga town centre 500 m; Mweiga market 500 m; local market 2 km; Le Tai Village Resort 2 km; Mweiga Airstrip 3 km; Dedan Kimathi University of Technology (DeKUT) 8 km. Estate plan (Phase 1) available. Directions: maps.app.goo.gl/CYUf2y3tGfgbNUKJA","How far is Mweiga Kanyagia plots from town?|What is near Mweiga / Kanyagia plots?|How do I get to Mweiga Kanyagia plots?","mweiga kanyagia plots, mweiga / kanyagia, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Mweiga / Kanyagia","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-mweiga-kanyagia/",""
"FY-060","PROPERTY","OVERVIEW","Lusoi Gardens Estate","Lusoi Gardens is a residential enclave of 1/8 acre (50 x 100 ft) plots on the Nyeri-Naro Moru corridor, 29 km from Nyeri Town, with Mount Kenya views and rich volcanic soils suited to upscale homes and high-yield farming. Upgraded roads and utilities, secure upscale neighbourhood, near the tourism and commerce of Naro Moru and Chaka. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Lusoi Gardens Estate|Do you have plots in Lusoi?|What size are plots in Lusoi?","lusoi gardens estate, lusoi, plots for sale, 50 x 100 ft","Lusoi","Nyeri/Laikipia (confirm)","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-lusoi/","Page heading says Laikipia County but the estate is described on the Nyeri corridor. Confirm county."
"FY-061","PROPERTY","LOCATION_LANDMARKS","Lusoi Gardens Estate - location and nearby landmarks","Lusoi Gardens Estate (Lusoi, Nyeri/Laikipia (confirm) County) - Distances: Chaka market 3.5 km; Lusoi Resort 4.5 km; Naro Moru Primary School 4.8 km; Naro Moru town centre 5 km; Nyeri Country Club 25 km; Nyeri town centre 29 km. Directions: maps.app.goo.gl/s59z5pKYv1gx3fm4A","How far is Lusoi Gardens Estate from town?|What is near Lusoi plots?|How do I get to Lusoi Gardens Estate?","lusoi gardens estate, lusoi, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Lusoi","Nyeri/Laikipia (confirm)","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-lusoi/",""
"FY-062","PROPERTY","OVERVIEW","Nanyuki Townview Estate","Townview Estate in Ntukuruma, Nanyuki (Laikipia County) offers 50 x 100 ft residential plots on fertile land with views of Mount Kenya and the Aberdares. Close to Nanyuki town, international and local schools, hospitals, markets, dining and safari destinations. Nanyuki's economy is driven by tourism, conservation and agriculture, supporting strong capital appreciation. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Nanyuki Townview Estate|Do you have plots in Nanyuki (Ntukuruma)?|What size are plots in Nanyuki (Ntukuruma)?","nanyuki townview estate, nanyuki (ntukuruma), plots for sale, 50 x 100 ft","Nanyuki (Ntukuruma)","Laikipia","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nanyuki-town/","Older LinkedIn post said Townview plots are 2 km from Nanyuki town, 600 m off the Nanyuki-Meru highway."
"FY-063","PROPERTY","LOCATION_LANDMARKS","Nanyuki Townview Estate - location and nearby landmarks","Nanyuki Townview Estate (Nanyuki (Ntukuruma), Laikipia County) - Distances: Nanyuki Primary School 700 m; Nanyuki Market 800 m; Nanyuki town centre 900 m; Nanyuki Government Hospital 1 km; Nanyuki Airstrip 3 km. Directions: maps.app.goo.gl/t7qFLyeKkrSCk2KW6","How far is Nanyuki Townview Estate from town?|What is near Nanyuki (Ntukuruma) plots?|How do I get to Nanyuki Townview Estate?","nanyuki townview estate, nanyuki (ntukuruma), plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Nanyuki (Ntukuruma)","Laikipia","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nanyuki-town/",""
"FY-064","PROPERTY","OVERVIEW","Naru Moru Gardens Estate","Naru Moru Gardens Estate is in Naro Moru town, Nyeri County, between Nyeri and Nanyuki off the Nairobi-Nanyuki highway. 50 x 100 ft plots with fertile volcanic soil (coffee, tea, horticulture), Mount Kenya views, graded access roads and reliable river water. Near tourist lodges, giving short-term rental potential. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Naru Moru Gardens Estate|Do you have plots in Naro Moru?|What size are plots in Naro Moru?","naru moru gardens estate, naro moru, plots for sale, 50 x 100 ft","Naro Moru","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-naru-moru/",""
"FY-065","PROPERTY","LOCATION_LANDMARKS","Naru Moru Gardens Estate - location and nearby landmarks","Naru Moru Gardens Estate (Naro Moru, Nyeri County) - Distances: Naro Moru Primary School 1.8 km; Naro Moru town centre 2 km; Naro Moru Police Station 2.1 km; Naro Moru Health Centre 2.2 km; Naro Moru River Lodge 2.5 km; Mount Kenya National Park gate 15 km. Estate plan available. Directions: maps.app.goo.gl/G73EzTLNX4vjxfURA","How far is Naru Moru Gardens Estate from town?|What is near Naro Moru plots?|How do I get to Naru Moru Gardens Estate?","naru moru gardens estate, naro moru, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Naro Moru","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-naru-moru/",""
"FY-066","PROPERTY","OVERVIEW","Nyaribo Airstrip Estate","Nyaribo Airstrip Estate offers 50 x 100 ft plots near Nyaribo Airstrip in Nyeri County (Chaka area), with fertile volcanic soil and reliable water from the Chania and Sagana rivers. The rehabilitated airstrip (with VIP lounge) and planned Nairobi-Nyeri commercial flights are expected to boost trade, tourism and land values. Between the Aberdares and Mount Kenya; near DeKUT and Nyeri County Referral Hospital. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Nyaribo Airstrip Estate|Do you have plots in Nyaribo?|What size are plots in Nyaribo?","nyaribo airstrip estate, nyaribo, plots for sale, 50 x 100 ft","Nyaribo","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nyaribo-airstrip-nyeri-county/",""
"FY-067","PROPERTY","LOCATION_LANDMARKS","Nyaribo Airstrip Estate - location and nearby landmarks","Nyaribo Airstrip Estate (Nyaribo, Nyeri County) - Distances: Chaka Town Market 350 m; Chaka Secondary School 1 km; Graceland Secondary School 1 km; Chaka Ranch Hotel 1.2 km; Nyaribo Airstrip 1.5 km; Chaka Railway Station 1.8 km. Directions: maps.app.goo.gl/XQy38dEz2gwaj7po6","How far is Nyaribo Airstrip Estate from town?|What is near Nyaribo plots?|How do I get to Nyaribo Airstrip Estate?","nyaribo airstrip estate, nyaribo, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Nyaribo","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nyaribo-airstrip-nyeri-county/",""
"FY-068","PROPERTY","OVERVIEW","Tetu Girls Estate","Tetu Girls Estate is in Tetu, Nyeri County (Mukaro Municipality) near Tetu Girls Primary and High School. 50 x 100 ft plots suited to a home, rental units or investment, with fertile soils, rolling green hills, upgraded roads and water from NYEWASCO. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Tetu Girls Estate|Do you have plots in Tetu?|What size are plots in Tetu?","tetu girls estate, tetu, plots for sale, 50 x 100 ft","Tetu","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-tetu-nyeri-county/",""
"FY-069","PROPERTY","LOCATION_LANDMARKS","Tetu Girls Estate - location and nearby landmarks","Tetu Girls Estate (Tetu, Nyeri County) - Distances: Tetu Girls High School 500 m; supermarket 1 km; Tetu Sub-County Hospital 3 km; Nyeri-Nairobi Highway 4 km; Green Hills Hotel and Golf Course 6 km; DeKUT 7 km; Nyeri Town CBD 7 km; Nyeri County Referral Hospital 9 km; Aberdare National Park 10 km. Estate plan available. Directions: maps.app.goo.gl/muAjhaSfATjiYTMc6","How far is Tetu Girls Estate from town?|What is near Tetu plots?|How do I get to Tetu Girls Estate?","tetu girls estate, tetu, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Tetu","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-tetu-nyeri-county/",""
"FY-070","PROPERTY","OVERVIEW","Kagundu-ini plots","Famyard's Kagundu-ini plots are in Tetu, Nyeri County, 300 m off Kagunduini Road and about 15 km from Nyeri town. 50 x 100 ft plots on fertile, well-drained red soil good for bananas, sugarcane and vegetables and stable for building foundations. All-weather roads, nearby tarmac, new cabro paving at Kagundu-ini shopping centre, and the Kaigonji water project improving irrigation. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Kagundu-ini plots|Do you have plots in Kagundu-ini (Tetu)?|What size are plots in Kagundu-ini (Tetu)?","kagundu-ini plots, kagundu-ini (tetu), plots for sale, 50 x 100 ft","Kagundu-ini (Tetu)","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nyeri-county-kagundu-ini/",""
"FY-071","PROPERTY","LOCATION_LANDMARKS","Kagundu-ini plots - location and nearby landmarks","Kagundu-ini plots (Kagundu-ini (Tetu), Nyeri County) - Distances: Kagunduini Primary School 500 m; Nyeri Police Station 10 km; Naivas Supermarket Nyeri 12 km; Dedan Kimathi University of Technology 15.5 km; Outspan Hospital nearby. Directions: maps.app.goo.gl/gEK1p6y4ZmyhG5ZTA","How far is Kagundu-ini plots from town?|What is near Kagundu-ini (Tetu) plots?|How do I get to Kagundu-ini plots?","kagundu-ini plots, kagundu-ini (tetu), plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Kagundu-ini (Tetu)","Nyeri","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-nyeri-county-kagundu-ini/",""
"FY-072","PROPERTY","OVERVIEW","Karicheni plots (Kieni)","Famyard's Karicheni plots are a gated community in Kieni East Sub-County, Nyeri County, along the Nyeri-Nanyuki Highway about 5 km past Chaka town. 50 x 100 ft plots fully serviced with water, electricity and graded roads, in a secure community near markets and schools. Plot size: 50 x 100 ft (1/8 acre). Type: Gated Community. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Karicheni plots (Kieni)|Do you have plots in Karicheni, Kieni East?|What size are plots in Karicheni, Kieni East?","karicheni plots (kieni), karicheni, kieni east, plots for sale, 50 x 100 ft","Karicheni, Kieni East","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-kieni-karicheni/","Listing header says 'Nyeri - Nyahururu Highway' but description says Nyeri-Nanyuki Highway."
"FY-073","PROPERTY","LOCATION_LANDMARKS","Karicheni plots (Kieni) - location and nearby landmarks","Karicheni plots (Kieni) (Karicheni, Kieni East, Nyeri County) - Distances: Karicheni Primary School 1 km; Karicheni Junior Secondary School 1.5 km; Kieni Technical and Vocational College 2 km; nearest health facility 2.5 km; Chaka town centre 5 km; Nanyuki Airstrip 30 km. Directions: maps.app.goo.gl/Xb5kLMCGWr4mNed66","How far is Karicheni plots (Kieni) from town?|What is near Karicheni, Kieni East plots?|How do I get to Karicheni plots (Kieni)?","karicheni plots (kieni), karicheni, kieni east, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Karicheni, Kieni East","Nyeri","50 x 100 ft (1/8 acre)","Gated Community","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-kieni-karicheni/",""
"FY-074","PROPERTY","OVERVIEW","Ngobit plots (Laikipia East)","Famyard's Ngobit plots are in Laikipia East, Laikipia County, next to Ngobit Police Station for added security. 50 x 100 ft plots with water, electricity and graded roads installed, ready for building. Scenic Laikipia landscapes and eco-tourism nearby. A drone video is on Famyard's YouTube. Plot size: 50 x 100 ft (1/8 acre). Type: Residential Land. Price: upon request. To book a free site visit or ask about pricing, call Famyard on +254 119 222666, WhatsApp +254 721 383 090 (wa.me/254721383090), or email contact@famyard.co.ke.","Tell me about Ngobit plots (Laikipia East)|Do you have plots in Ngobit, Laikipia East?|What size are plots in Ngobit, Laikipia East?","ngobit plots (laikipia east), ngobit, laikipia east, plots for sale, 50 x 100 ft","Ngobit, Laikipia East","Laikipia","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-laikipia-east-ngobit/",""
"FY-075","PROPERTY","LOCATION_LANDMARKS","Ngobit plots (Laikipia East) - location and nearby landmarks","Ngobit plots (Laikipia East) (Ngobit, Laikipia East, Laikipia County) - Distances: Ngobit Police Station 500 m; local markets 1 km; healthcare 5 km; schools 10 km; hotels and lodging 10 km; Nanyuki Airstrip about 40 km. Directions: maps.app.goo.gl/CGXPpWRfXMEDUHcA9","How far is Ngobit plots (Laikipia East) from town?|What is near Ngobit, Laikipia East plots?|How do I get to Ngobit plots (Laikipia East)?","ngobit plots (laikipia east), ngobit, laikipia east, plots for sale, 50 x 100 ft, distance, directions, landmarks, schools, hospital","Ngobit, Laikipia East","Laikipia","50 x 100 ft (1/8 acre)","Residential Land","Completed","Upon request","https://famyard.co.ke/plots/plots-for-sale-in-laikipia-east-ngobit/",""
"FY-076","TESTIMONIALS","DIASPORA","Diaspora client reviews","Diaspora clients on Famyard Enterprises: James O. (London, UK) said investing in Jikaze from abroad seemed daunting but Famyard made it effortless with remote consultations and frequent updates. Amina L. (New Jersey, USA) said Famyard made buying land from overseas straightforward with secure payment methods and clear communication. Jeffrey Kreshek (New York) called investing with Famyard a game-changer, professional and straightforward, recommended for serious investors.","Have diaspora clients bought from you?|Any reviews from abroad?","reviews, testimonials, diaspora, uk, usa","","","","","","","https://famyard.co.ke/diaspora-clients-buy-prime-plots-in-kenya-remotely/",""
"FY-077","TESTIMONIALS","TITLE_DEEDS","Client reviews on title deeds and legal process","Clients on Famyard's title deeds and legal support: Susan W. (Nairobi) was impressed by quick title deed processing and support from first call to signing. Joshua Mwangi (Mombasa) received his title deed and called Famyard genuine and reliable. Grace Nyambura (Nyeri) praised meticulous, transparent legal documentation. Eric Kamau (Nairobi) received his title and plans further investment. Grace Thiongo (Eldoret) received two title deeds with Famyard's support. Lisa Mwenda (Thika) said Famyard made following up on her title deed much easier.","Do clients actually get their title deeds?|Reviews on titles","reviews, testimonials, title deed, legal","","","","","","","https://famyard.co.ke/diaspora-clients-buy-prime-plots-in-kenya-remotely/",""
